id,title,category,mizan_classification,source_note,url,download_status,markdown_path,docx_path,raw_html_path
syrian_lawyer_2002,نموذج و صيغة دعوى اخلاء لعلة تاجيرالغير لمحل تجاري أو شقة سكنية,تجاري / مالي,دعوى > تجارية / مالية,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%a7%d8%ae%d9%84%d8%a7%d8%a1-%d9%84%d8%b9%d9%84%d8%a9-%d8%aa%d8%a7%d8%ac%d9%8a%d8%b1%d8%a7%d9%84%d8%ba%d9%8a%d8%b1/,downloaded,content/legal_templates/lawsuits_requests/markdown/نموذج_و_صيغة_دعوى_اخلاء_لعلة_تاجيرالغير_لمحل_تجاري_أو_شقة_سكنية.md,content/legal_templates/lawsuits_requests/docx/نموذج_و_صيغة_دعوى_اخلاء_لعلة_تاجيرالغير_لمحل_تجاري_أو_شقة_سكنية.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_2002.html
syrian_lawyer_2110,صيغة و نموذج دعوى تثبيت حق مرور في عقار,دعاوى عقارية,دعوى > مدنية > عقارية,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%aa%d8%ab%d8%a8%d9%8a%d8%aa-%d8%ad%d9%82-%d9%85%d8%b1%d9%88%d8%b1-%d9%81%d9%8a-%d8%b9%d9%82%d8%a7%d8%b1/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_و_نموذج_دعوى_تثبيت_حق_مرور_في_عقار.md,content/legal_templates/lawsuits_requests/docx/صيغة_و_نموذج_دعوى_تثبيت_حق_مرور_في_عقار.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_2110.html
syrian_lawyer_2125,نموذج و صيغة دعوى اخلاء لعلة ترك المأجور المعد للسكن,دعاوى إيجارية,دعوى > مدنية > إيجارات,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%a7%d8%ae%d9%84%d8%a7%d8%a1-%d9%84%d8%b9%d9%84%d8%a9-%d8%aa%d8%b1%d9%83-%d8%a7%d9%84%d9%85%d8%a3%d8%ac%d9%88%d8%b1/,downloaded,content/legal_templates/lawsuits_requests/markdown/نموذج_و_صيغة_دعوى_اخلاء_لعلة_ترك_المأجور_المعد_للسكن.md,content/legal_templates/lawsuits_requests/docx/نموذج_و_صيغة_دعوى_اخلاء_لعلة_ترك_المأجور_المعد_للسكن.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_2125.html
syrian_lawyer_2129,نموذج و صيغة دعوى تصفية تركة في القانون السوري,مدني عام,دعوى > مدنية عامة,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%aa%d8%b5%d9%81%d9%8a%d8%a9-%d8%aa%d8%b1%d9%83%d8%a9/,downloaded,content/legal_templates/lawsuits_requests/markdown/نموذج_و_صيغة_دعوى_تصفية_تركة_في_القانون_السوري.md,content/legal_templates/lawsuits_requests/docx/نموذج_و_صيغة_دعوى_تصفية_تركة_في_القانون_السوري.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_2129.html
syrian_lawyer_2131,صيغة طلب عارض بالدعوى للمطالبة بتعويض عن عدم العودة للمأجور,دعاوى إيجارية,دعوى > مدنية > إيجارات,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%aa%d8%b9%d9%88%d9%8a%d8%b6-%d8%b9%d9%86-%d8%b9%d8%af%d9%85-%d8%a7%d9%84%d8%b9%d9%88%d8%af%d8%a9-%d9%84%d9%84%d9%85%d8%a3%d8%ac%d9%88%d8%b1/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_طلب_عارض_بالدعوى_للمطالبة_بتعويض_عن_عدم_العودة_للمأجور.md,content/legal_templates/lawsuits_requests/docx/صيغة_طلب_عارض_بالدعوى_للمطالبة_بتعويض_عن_عدم_العودة_للمأجور.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_2131.html
syrian_lawyer_2136,صيغة دعوى اخلاء لعلة التقصير بالدفع,مدني عام,دعوى > مدنية عامة,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%a7%d8%ae%d9%84%d8%a7%d8%a1-%d9%84%d8%b9%d9%84%d8%a9-%d8%a7%d9%84%d8%aa%d9%82%d8%b5%d9%8a%d8%b1-%d8%a8%d8%a7%d9%84%d8%af%d9%81%d8%b9/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_دعوى_اخلاء_لعلة_التقصير_بالدفع.md,content/legal_templates/lawsuits_requests/docx/صيغة_دعوى_اخلاء_لعلة_التقصير_بالدفع.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_2136.html
syrian_lawyer_2138,صيغة دعوى اخلاء لعلة التملك,دعاوى عقارية,دعوى > مدنية > عقارية,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%a7%d8%ae%d9%84%d8%a7%d8%a1-%d9%84%d8%b9%d9%84%d8%a9-%d8%a7%d9%84%d8%aa%d9%85%d9%84%d9%83/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_دعوى_اخلاء_لعلة_التملك.md,content/legal_templates/lawsuits_requests/docx/صيغة_دعوى_اخلاء_لعلة_التملك.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_2138.html
syrian_lawyer_2140,نموذج دعوى اخلاء لعلة التنازل عن المأجور-pdf,دعاوى إيجارية,دعوى > مدنية > إيجارات,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%a7%d8%ae%d9%84%d8%a7%d8%a1-%d9%84%d8%b9%d9%84%d8%a9-%d8%a7%d9%84%d8%aa%d9%86%d8%a7%d8%b2%d9%84-%d8%b9%d9%86-%d8%a7%d9%84%d9%85%d8%a3%d8%ac%d9%88/,downloaded,content/legal_templates/lawsuits_requests/markdown/نموذج_دعوى_اخلاء_لعلة_التنازل_عن_المأجور-pdf.md,content/legal_templates/lawsuits_requests/docx/نموذج_دعوى_اخلاء_لعلة_التنازل_عن_المأجور-pdf.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_2140.html
syrian_lawyer_2142,صيغة دعوى اخلاء لعلة التوسع بالسكنى,مدني عام,دعوى > مدنية عامة,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%a7%d8%ae%d9%84%d8%a7%d8%a1-%d9%84%d8%b9%d9%84%d8%a9-%d8%a7%d9%84%d8%aa%d9%88%d8%b3%d8%b9-%d8%a8%d8%a7%d9%84%d8%b3%d9%83%d9%86%d9%89/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_دعوى_اخلاء_لعلة_التوسع_بالسكنى.md,content/legal_templates/lawsuits_requests/docx/صيغة_دعوى_اخلاء_لعلة_التوسع_بالسكنى.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_2142.html
syrian_lawyer_2152,صيغة مذكرة دفاع بدعوى استرداد حيازة,مذكرات,مذكرة,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d9%85%d8%b0%d9%83%d8%b1%d8%a9-%d8%af%d9%81%d8%a7%d8%b9-%d8%a8%d8%af%d8%b9%d9%88%d9%89-%d8%a7%d8%b3%d8%aa%d8%b1%d8%af%d8%a7%d8%af-%d8%ad%d9%8a%d8%a7%d8%b2%d8%a9/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_مذكرة_دفاع_بدعوى_استرداد_حيازة.md,content/legal_templates/lawsuits_requests/docx/صيغة_مذكرة_دفاع_بدعوى_استرداد_حيازة.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_2152.html
